min_confidence,precision_A,recall_A,distance_pc_A,precision_Z,recall_Z,distance_pc_Z,precision_G,recall_G,distance_pc_G,precision_D,recall_D,distance_pc_D
81,90.98442993470618,40.322760155815246,0.41913611250627825,90.71530080530555,42.78373547810545,0.5011842728564662,50.66666666666667,0.4082948318469969,8.106666666666667,90.23972602739725,41.24091671324762,0.651908023483366
82,90.98442993470618,40.322760155815246,0.41913611250627825,90.65443129678822,41.91135424807413,0.48683892779521853,50.66666666666667,0.4082948318469969,8.106666666666667,90.23972602739725,41.24091671324762,0.651908023483366
83,90.98442993470618,40.322760155815246,0.41913611250627825,90.65443129678822,41.91135424807413,0.48683892779521853,50.66666666666667,0.4082948318469969,8.106666666666667,90.23972602739725,41.24091671324762,0.651908023483366
84,91.3738019169329,3.0696576151121606,0.3003194888178914,90.65443129678822,41.91135424807413,0.48683892779521853,51.35135135135135,0.40825096691018475,7.864864864864865,90.261805725471,41.23630672926448,0.6403229752874969
85,91.3738019169329,3.0696576151121606,0.3003194888178914,90.65443129678822,41.91135424807413,0.48683892779521853,52.054794520547944,0.40820711139757226,7.616438356164384,90.261805725471,41.23630672926448,0.6403229752874969
86,91.3738019169329,3.0696576151121606,0.3003194888178914,90.65217391304347,41.90018979569052,0.48695652173913045,52.054794520547944,0.40820711139757226,7.616438356164384,90.28389623103278,41.231697775790764,0.6402349486049926
87,91.3738019169329,3.0696576151121606,0.3003194888178914,90.65217391304347,41.90018979569052,0.48695652173913045,54.285714285714285,0.4080756013745705,7.271428571428571,90.28389623103278,41.231697775790764,0.6402349486049926
88,91.3738019169329,3.0696576151121606,0.3003194888178914,90.64991543851171,41.88902534330691,0.4870741725054361,54.285714285714285,0.4080756013745705,7.271428571428571,90.28389623103278,41.231697775790764,0.6402349486049926
89,83.72093023255815,0.38556281460854663,1.0232558139534884,90.64991543851171,41.88902534330691,0.4870741725054361,54.285714285714285,0.4080756013745705,7.271428571428571,90.28389623103278,41.231697775790764,0.6402349486049926
90,83.72093023255815,0.38556281460854663,1.0232558139534884,90.64991543851171,41.88902534330691,0.4870741725054361,54.285714285714285,0.4080756013745705,7.271428571428571,90.28389623103278,41.231697775790764,0.6402349486049926
91,83.72093023255815,0.38556281460854663,1.0232558139534884,90.77221952404079,41.70013386880857,0.4494900437105391,54.285714285714285,0.4080756013745705,7.271428571428571,90.30599755201958,41.227089852481,0.6401468788249693
92,83.72093023255815,0.38556281460854663,1.0232558139534884,90.76997813942191,41.68897813476127,0.4495992227350012,55.072463768115945,0.40803178352840114,7.115942028985507,90.30599755201958,41.227089852481,0.6401468788249693
93,83.72093023255815,0.38556281460854663,1.0232558139534884,90.76997813942191,41.68897813476127,0.4495992227350012,55.88235294117647,0.40798797509126045,6.764705882352941,90.30599755201958,41.227089852481,0.6401468788249693
94,83.72093023255815,0.38556281460854663,1.0232558139534884,90.76997813942191,41.68897813476127,0.4495992227350012,55.88235294117647,0.40798797509126045,6.764705882352941,90.30599755201958,41.227089852481,0.6401468788249693
95,83.72093023255815,0.38556281460854663,1.0232558139534884,90.76997813942191,41.68897813476127,0.4495992227350012,56.71641791044776,0.40794417606011807,6.462686567164179,90.30599755201958,41.227089852481,0.6401468788249693
96,83.72093023255815,0.38556281460854663,1.0232558139534884,90.76997813942191,41.68897813476127,0.4495992227350012,56.71641791044776,0.40794417606011807,6.462686567164179,90.30599755201958,41.227089852481,0.6401468788249693
97,83.72093023255815,0.38556281460854663,1.0232558139534884,90.76997813942191,41.68897813476127,0.4495992227350012,56.71641791044776,0.40794417606011807,6.462686567164179,90.30599755201958,41.227089852481,0.6401468788249693
98,83.72093023255815,0.38556281460854663,1.0232558139534884,90.76997813942191,41.68897813476127,0.4495992227350012,57.57575757575758,0.40790038643194504,6.4393939393939394,90.30599755201958,41.227089852481,0.6401468788249693
99,83.72093023255815,0.38556281460854663,1.0232558139534884,90.76997813942191,41.68897813476127,0.4495992227350012,57.57575757575758,0.40790038643194504,6.4393939393939394,90.30599755201958,41.227089852481,0.6401468788249693
100,83.72093023255815,0.38556281460854663,1.0232558139534884,90.76997813942191,41.68897813476127,0.4495992227350012,76.0,0.40720102871838837,3.24,90.30599755201958,41.227089852481,0.6401468788249693
